2019年3月
編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2019-03-26 08:15:47,121.53,24.04,3,19.1,花蓮縣政府西偏北方  11.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-03-25 10:43:21,121.74,23.51,4.1,16.7,花蓮縣政府南偏東方  54.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-03-24 15:56:50,122.44,24.7,4.6,106,宜蘭縣政府東方  68.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-03-22 22:22:32,120.72,23.62,3.5,11.8,雲林縣政府東偏南方  21.7  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
小區域有感地震,2019-03-22 20:05:49,122.41,24.48,4.7,88.9,宜蘭縣政府東偏南方  71.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-03-21 07:12:29,120.7,23.03,3.4,7.9,高雄市政府東北方  60.2  公里 (位於高雄市桃源區)(高雄市桃源區)
021   ,2019-03-19 12:01:34,121.94,24.75,4.7,83.1,宜蘭縣政府東方  18.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-03-18 11:42:11,120.9,23.29,3.5,7.5,高雄市政府東北方  95.8  公里 (位於高雄市桃源區)(高雄市桃源區)
020   ,2019-03-17 20:44:23,121.9,24.44,4.1,22.6,宜蘭縣政府南偏東方  35.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-03-17 09:28:18,121.52,24.09,3.1,14.7,花蓮縣政府西北方  15.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
019   ,2019-03-16 08:45:51,121.4,23.21,4.5,19.4,臺東縣政府北偏東方  56.9  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2019-03-15 23:55:28,121.43,23.24,3.5,45.2,臺東縣政府北偏東方  60.5  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2019-03-15 01:17:59,120.52,23.43,3.1,9.6,嘉義縣政府東方  23.7  公里 (位於嘉義縣中埔鄉)(嘉義縣中埔鄉)
018   ,2019-03-14 05:07:22,121.35,23.05,4.6,17.1,臺東縣政府北偏東方  38.9  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2019-03-13 23:45:44,120.81,22.57,3.7,7.2,臺東縣政府西偏南方  40.9  公里 (位於臺東縣金峰鄉)(臺東縣金峰鄉)
017   ,2019-03-13 12:32:35,121.59,23.59,5.2,35.7,花蓮縣政府南方  44.1  公里 (位於花蓮縣近海)(花蓮縣近海)
016   ,2019-03-13 04:19:16,121.87,24.97,5.1,132.5,新北市政府東方  40.9  公里 (位於新北市貢寮區)(新北市貢寮區)
小區域有感地震,2019-03-12 22:27:28,121.69,24.62,3.8,8.2,宜蘭縣政府南偏西方  13.7  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
015   ,2019-03-12 11:53:39,120.61,22.91,4,11.3,高雄市政府東北方  44.5  公里 (位於高雄市六龜區)(高雄市六龜區)
小區域有感地震,2019-03-11 23:51:50,121.72,23.42,4,27.8,花蓮縣政府南方  64.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2019-03-10 01:27:49,121.44,23.93,3.3,17.6,花蓮縣政府西偏南方  19.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-03-10 01:27:29,121.45,23.93,3.9,19.8,花蓮縣政府西偏南方  18.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-03-09 08:15:42,121.89,24.44,3.2,20.4,宜蘭縣政府南偏東方  34.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2019-03-08 10:55:18,121.4,22.36,4,20.3,臺東縣政府南偏東方  50.6  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2019-03-08 10:55:00,121.36,22.41,3.9,18.2,臺東縣政府南偏東方  44.1  公里 (位於臺灣東南部海域)(臺灣東南部海域)
014   ,2019-03-08 10:32:14,121.39,22.43,5.2,21.3,臺東縣政府東南方  43.7  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2019-03-07 23:27:00,121.64,23.99,3.9,33.6,花蓮縣政府東偏北方  1.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2019-03-06 09:33:29,121.78,24.76,4,83.7,宜蘭縣政府北偏東方  4.3  公里 (位於宜蘭縣壯圍鄉)(宜蘭縣壯圍鄉)
小區域有感地震,2019-03-03 10:39:47,121.33,22.57,3.6,24.6,臺東縣政府東南方  27.4  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2019-03-02 13:29:01,121.52,24.06,3.6,20.4,花蓮縣政府西北方  12.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2019-03-01 02:47:51,121.01,23.98,3.5,16.2,南投縣政府東偏北方  33.4  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
